Country,value
India,2652551202555
Pakistan,304951818494
Bangladesh,249723862487
Sri Lanka,88019706803
Nepal,24880266905
China,12143491448186
Japan,4859950558538
Korea Republic,1530750923148
Australia,1330803227996
Indonesia,1015423455783
Germany,3693204332229
United Kingdom,2637866340434
France,2586285406561
Italy,1946570340341
Russia,1578624060588
Poland,526371021088
Czech Republic,215913545038
Romania,211406933991
Hungary,139761138102
Slovakia,95617670260
Brazil,2053594973992
Mexico,1158071006809
Argentina,642695864756
Venezuela,0
Colombia,311789874617
United States,19485393853000
Canada,1646867220617
Bermuda,0
Saudi Arabia,688586133333
Iran,454012768723
United Arab Emirates,382575085091
Israel,353268411918
Egypt,235369129337
